lakename,groupingENSO,groupingNAO,groupingNPO,groupingPC15,lat,lon,lake,GLWDid,AREA_SKM,PERIM_KM,LONG_DEG,LAT_DEG,ELEV_M,CATCH_TSKM
Southern_Indian,CentralCanada,WestCentralNorthAmerica,NA,NA,57.24,-98.39,lake0410,72,2227.4,3028.2,-98.61,57.14,259,268
St.Jean,NA,NA,NA,NA,48.58,-72,lake0509,158,1106.2,315.1,-72.02,48.66,97,75.7
Superior_1,NA,WestCentralNorthAmerica,NA,NA,47.83,-87,lake0337,2,81935.7,3469.6,-88.23,47.72,184,203.2
Talbot,SouthCentralCanada,NA,NA,NA,54.03,-99.87,lake0003,1003,186.3,98.6,-99.9,54.01,257,0.4
Tana,SubSaharanAfrica,NA,NorthernEastAfrica,NA,12,37.25,lake0402,1177,158.8,132.6,37.46,-0.87,990,5.9
Tarbela,NA,NA,NA,NA,34.1,72.71,lake0625,743,253.8,242.4,72.86,34.33,442,195.3
Taupo,NA,NA,NA,NA,-38.8,176.03,lake0511,295,600.5,142.3,175.9,-38.81,395,3.5
Tehek,NA,NA,NA,NA,64.82,-95.57,lake0475,371,491.1,563.9,-95.62,64.92,155,0.7
Tobin,NA,NA,NA,NA,53.59,-103.57,lake1172,713,262.4,133.6,-103.49,53.57,315,343.2
Towuti,NA,NA,NA,NA,-2.7,121.64,lake0514,332,545.9,188.5,121.52,-2.79,230,2.5
Tshchikskoye,NA,NA,NA,NA,45.03,39.36,lake0600,601,311.9,133.4,39.34,45.04,31,45.1
Tsimlyanskoye,NA,NA,NA,NA,48.22,43.09,lake0592,71,2242.4,668.4,42.98,48.05,28,248.5
Turkana,SubSaharanAfrica,NA,NA,NA,4,36,lake0093,22,7785.4,820.2,36.08,3.53,438,41.3
Ulungar,NA,NA,NA,NA,47.25,87.25,lake0209,239,757.5,179.6,87.3,47.22,452,34.5
Urmia_1,NA,NA,NA,NA,37.67,45.5,lake0115,34,4963.4,676.1,45.49,37.64,1271,31.2
Ust-Ilimskoye,NA,NA,NA,NA,57.49,102.38,lake0433,102,1657.7,1694.4,102.32,57.15,284,810.7
Utikuma,NA,NA,NA,NA,55.77,-115.53,lake0380,669,280.7,116.2,-115.39,55.86,651,1.4
Vanern,NorthernEurope,NA,NorthernEurope,NA,59,13.5,lake0026,29,5550.5,1237.7,13.22,58.88,45,49
Viedma,NA,NA,NA,NA,-49.67,-72.97,lake0754,171,1047.4,233.8,-72.56,-49.59,297,7.9
Vilyuyskoye,NA,EastAsia,NA,NA,62.57,111.27,lake0434,80,2076.7,1678.1,111.16,62.73,247,85.9
Volgogradskoye,NA,NA,NA,NA,50.82,46.02,lake1377,61,2697.9,1907.3,45.85,50.35,19,1340.2
Volta,SubSaharanAfrica,NA,NA,NA,7,0.17,lake0393,24,7490.7,3884.2,0.11,7.63,89,391.8
Votkinskoye,NA,NA,NA,NA,57.11,54.94,lake0809,237,759,613.2,55.01,57.22,94,173.3
Vygozero,NA,NA,NA,NA,63.22,34.92,lake0435,136,1248.5,754.7,34.84,63.54,74,12.9
Williston,NA,NA,NA,NA,56.35,-124.39,lake1155,103,1654,861.6,-123.91,55.95,684,71
Windsor,NA,NA,SouthEastNorthAmerica,NA,21.03,-73.52,lake0021,914,205.1,119.3,-73.47,21.03,0,0.7
Winnebago,NA,WestCentralNorthAmerica,SouthEastNorthAmerica,NA,44,-88.42,lake0480,340,526.1,137,-88.42,44.02,229,9.8
Winnipeg,NA,WestCentralNorthAmerica,NA,NA,52,-98,lake0012,13,23809.3,2461.6,-97.25,52.12,217,490.1
Winnipegosis,SouthCentralCanada,NA,NA,NA,52.42,-100,lake0203,31,5167.1,1638.5,-100.05,52.37,252,62.7
Wollaston,CentralCanada,WestCentralNorthAmerica,NA,NA,58.27,-103.35,lake0423,68,2272,2495.3,-103.33,58.3,396,22.5
Woods,NA,NA,NA,NA,49.08,-95,lake0266,44,4167.7,2824.8,-94.91,49.38,326,69.5
Xiaowan,NA,NA,NA,NA,24.86,100.17,lake1992,NA,190,NA,100.17,24.86,1240,113.3
Yathkyed,NA,NA,NA,NA,62.48,-97.44,lake0409,126,1320.4,610.8,-98.07,62.69,101,29.2
Yellowstone,NA,NA,NA,NA,44.42,-110.33,lake0486,572,327.8,173.9,-110.39,44.43,2405,1.4
Zaysan,NA,NA,NA,NA,49.11,83.74,lake0615,40,4470.5,1223.9,83.44,48.7,379,111.1
Zeyaskoye,NA,NA,NA,NA,54.42,127.75,lake0353,88,1964,1101.6,127.8,54.26,271,82.3
Zhalauly,NA,NA,NA,NA,52.87,74.17,lake0238,880,212.5,153,74.18,52.89,101,0
Ziway,NA,NA,NA,NA,8.06,38.91,lake0349,445,410.5,112.5,38.84,7.98,1643,9.9
